,product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,discount
19,117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,10.13,6.08,9627,Truyện ngắn - Tản văn - Tạp Văn,2013,5.0,322,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/f7/fb/9a/e8b9a94478dc887c4b84b6b6439f6335.jpg,0.4
20,7779328,Cú Săn Đêm,Samuel Bjork,5.65,4.81,7,Tiểu Thuyết,0,0.0,400,Unknown,https://salt.tikicdn.com/ts/product/45/6c/b1/1d809c7be82ee19ca6b7ddcb18a494bc.jpg,0.15
21,188940817,Vị Thần Của Những Quyết Định,Universe,3.33,2.32,4654,Sách Chiêm Tinh - Horoscope,648,4.8,320,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/0c/49/5f/751b9c711c12def9beb2a3bbc3290d77.jpg,0.3
22,15267827,Hoàng Tử Bé (Tái Bản 2019),Antoine De Saint-Exupéry,3.16,1.9,20669,Truyện kể cho bé,3011,4.8,102,Unknown,https://salt.tikicdn.com/ts/product/5c/e7/68/26838e18d7f96d562d828980520019d2.jpg,0.4
23,69219919,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),Nguyên Phong,4.14,3.04,12009,Others,2603,4.8,482,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/df/75/ac/207386a97daf1b2338598005cc8139c9.jpg,0.27
24,3639597,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),Hae Min,3.59,2.15,44869,Truyện ngắn - Tản văn - Tạp Văn,3702,4.8,256,Unknown,https://salt.tikicdn.com/ts/product/7a/18/8e/2f70de3ea7eec9c34f55e402254e27ed.jpg,0.4
26,8885999,Totto - Chan Bên Cửa Sổ (Tái Bản),Kuroyanagi Tetsuko,4.14,2.48,18288,Truyện dài,1829,5.0,456,Unknown,https://salt.tikicdn.com/ts/product/24/39/01/1718d16b33315c03026cee717adad4b3.jpg,0.4
27,71345381,Thay Đổi Cuộc Sống Với Nhân Số Học,David A. Phillips,10.46,5.96,24563,Others,4712,4.8,342,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/19/3a/7d/c0ba28d461ef53622b58fddbdbe0c47d.jpg,0.43
28,92096344,Những Người Khốn Khổ (Boxet 2 Tập),Victor Hugo,21.05,16.84,2274,Tác phẩm kinh điển,553,4.8,1672,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/16/63/e2/b9e75fdf59ba03521829dfe7e2f2034b.jpg,0.2
29,3638033,Trăm Năm Cô Đơn,Gabriel Garcia Marquez,7.13,4.28,7143,Truyện ngắn - Tản văn - Tạp Văn,989,4.7,496,Unknown,https://salt.tikicdn.com/ts/product/37/3b/5d/5efd681d48d5a81e3e6675121e69d38d.jpg,0.4
30,52785564,Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,5.44,3.27,2904,Tác phẩm kinh điển,508,4.6,392,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/36/48/39/2ef073f6a40a268deb12ecc35a6b1145.jpg,0.4
31,97594364,Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ,Ngô Sa Thạch,13.5,9.41,27672,Lĩnh vực khác,6325,4.7,408,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/46/4d/81/dadc621baaa9d45b52a444616d8e3cb8.jpg,0.3
32,1476937,Dám Bị Ghét,Koga Fumitake,4.05,2.43,45858,Tiểu Thuyết,3457,4.8,336,Unknown,https://salt.tikicdn.com/ts/product/74/11/ff/6304c47fec56e6f0b2110be65af0c7c2.jpg,0.4
33,3828605,Chú Bé Mang Pyjama Sọc (Tái Bản 2018),John Boyne,2.87,1.72,8464,Truyện kể cho bé,1351,5.0,253,Unknown,https://salt.tikicdn.com/ts/product/19/4f/27/99b31589a12ac561e769081c4eb32d1f.jpg,0.4
34,114937969,Rừng Nauy (Tái Bản),Haruki Murakami,6.33,3.8,3660,Tiểu Thuyết,777,4.8,556,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/c9/e4/18/a9cfc425fa590c453f20307229804bb3.jpg,0.4
36,8885995,Sự Im Lặng Của Bầy Cừu (Tái Bản),Thomas Harris,4.85,2.91,15845,Truyện dài,2469,4.8,347,Unknown,https://salt.tikicdn.com/ts/product/cd/2a/5b/926ca6c7b295c6e7cea39390efe08968.jpg,0.4
37,75953557,Tâm Lý Học Về Tiền,Morgan Housel,7.97,5.61,18383,"Sách tài chính, tiền tệ",2990,4.8,384,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/83/23/b7/14a42ae4f66c9b8b298aaef4b9671442.jpg,0.3
38,12377498,Bố Con Cá Gai (Tái Bản 2019),Cho Chang - In,4.05,2.43,6384,Tiểu Thuyết,1025,4.8,340,Unknown,https://salt.tikicdn.com/ts/product/85/b4/a3/dc8b8311f434cc946563963bc8e30071.jpg,0.4
39,145288029,Xứ Cát,Frank Herbert,10.51,6.3,5185,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1065,4.7,714,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/b4/f0/81/5d5e4a26cb029fdecd04e0c30cbef17a.jpg,0.4
41,113530805,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),Rosie Nguyễn,3.8,2.28,6552,Others,1273,4.8,291,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/56/ce/23/64b2eaa5b859d8ba1412f1b350c3e128.jpg,0.4
42,26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",Tống Mặc,3.76,2.41,65623,Others,6602,4.8,264,Unknown,https://salt.tikicdn.com/ts/product/70/9a/98/e6d54019a2079b9565114bce93b245b7.jpg,0.36
43,56454897,Hiệu Sách Nhỏ Ở Paris,Nina George,6.29,3.77,5665,Tiểu Thuyết,1069,4.8,452,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/7c/0d/6c/8fcbd6abc1ac716d07b3593f9b97f53b.jpg,0.4
44,197657911,Tiếng Núi,Kawabata Yasunari,9.28,5.57,854,Tác phẩm kinh điển,79,4.8,384,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/06/b0/b9/7ab33a63c472dddb0310a528119118b9.jpg,0.4
46,70016692,Bắt Trẻ Đồng Xanh (Tái Bản 2020),Jerome David Salinger,3.71,2.23,6679,Tiểu Thuyết,1547,4.8,328,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/65/74/fb/1e6ca7a2fa28d83667a8e50144e43d0d.jpg,0.4
47,204317934,1111 - Nhật Ký Sáu Vạn Dặm Trên Yên Xe Cà Tàng,Trần Đặng Đăng Khoa,13.71,11.05,768,Others,59,5.0,456,NXB Trẻ,https://salt.tikicdn.com/ts/product/16/99/f6/b1b3d72f9802de5ae8ae20d641fd1e63.jpg,0.19
48,106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Diệp Hồng Vũ,6.12,3.92,16741,Others,5540,4.8,280,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/cb/79/53/7cf60ac4e52cb3f61aa1b4986a0efee6.jpg,0.36
49,17336364,Phía Sau Nghi Can X (Tái Bản 2019),Higashino Keigo,4.6,2.76,16595,Truyện trinh thám,3213,4.8,396,Unknown,https://salt.tikicdn.com/ts/product/23/56/86/a538698ead7dc2f693d1e9778417317d.jpg,0.4
50,53095307,Nàng Tóc Đỏ (Nobel Văn Chương 2006),Unknown,5.06,2.78,708,Tác phẩm kinh điển,85,4.7,320,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/3d/3e/d8/bdc5a3edcd4ecd6bb91895ffb67cbe11.jpg,0.45
51,10005245,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,John Gray,7.93,5.71,48419,Others,3904,4.7,488,Unknown,https://salt.tikicdn.com/ts/product/0a/f6/38/bc10734989977da424642a1c4750eee2.jpg,0.28
52,127844385,Kiêu Hãnh Và Định Kiến (Tái Bản),Jane Austen,4.89,3.65,1932,Tiểu Thuyết,369,4.8,362,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/13/1a/c5/8de00e3c753d0d571b793caeab329d8d.jpg,0.25
53,10095276,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,Ken Mogi,3.8,2.28,5684,Others,498,4.8,199,Unknown,https://salt.tikicdn.com/ts/product/0c/ae/23/74a7396a4c1bcf48ed016b92ab349b5a.jpg,0.4
54,54266567,Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,Napoleon Hill,4.64,3.06,8825,Bài học kinh doanh,1448,4.8,450,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/2f/87/11/33e6b375996b5012307dcd3986e0b692.jpg,0.34
55,100347903,Nói Một Cách Đơn Giản,Rhee Dongwoo,5.44,4.14,628,Others,73,5.0,264,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/f6/90/1a/7798d89cd8c6808df55571c8af40a286.jpg,0.24
56,203701754,Một Họa Sĩ Phù Thế,Kazuo Ishiguro,7.13,4.28,291,Tiểu Thuyết,21,5.0,299,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/1d/84/65/0914ab54b67cfc02cbe8e36e21ae1ff0.jpg,0.4
57,103379147,Bạch Dạ Hành (Tái Bản),Higashino Keigo,8.82,5.29,3528,Truyện trinh thám,918,4.8,628,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/80/67/af/753a66ef25086f469826f3ee4716f751.jpg,0.4
58,71990280,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,6.71,4.68,7744,Sách nghệ thuật sống đẹp,1242,4.8,450,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/53/ec/b6/e67dfef8643496ef9abe6e5430b1a630.jpg,0.3
59,121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),Yoo Eun Jung,5.02,3.07,7994,Others,1418,5.0,304,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/48/cf/b6/591dc6b51337aca15183552706b57087.jpg,0.39
60,14684956,Sáu Người Đi Khắp Thế Gian (Tập 2) ( Tái Bản 2019 ),James Albert Michener,6.33,5.38,18,Others,4,5.0,564,Unknown,https://salt.tikicdn.com/ts/product/5c/47/0d/3f1a1c7c6f6ab339b1acd2892ee7282e.jpg,0.15
61,95470626,Combo 2 Cuốn: Muôn Kiếp Nhân Sinh + Muôn Kiếp Nhân Sinh 2 (Bìa Mềm),Nguyên Phong,18.4,10.49,5947,Others,1207,4.8,960,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/05/e6/c8/f77f8c96a0c0389027846193e9b62ae5.jpg,0.43
62,72308265,Hoa Vẫn Nở Mỗi Ngày,Unknown,9.87,5.92,3892,Tiểu Thuyết,793,4.8,532,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/da/f6/2a/963d63c3dca69a9e40094b7765d4a70c.jpg,0.4
63,69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Khương Nguy,4.14,2.66,13123,Others,2505,5.0,276,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/cd/72/24/a9f929f98397d1be047e47602989a5e0.jpg,0.36
64,143217512,Điềm Tĩnh Và Nóng Giận,Tạ Quốc Kế,4.05,2.67,6838,Others,812,4.8,224,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/b4/51/cf/467cc6c113c3847a01516006180c20b2.jpg,0.34
66,124767703,Cân Bằng Cảm Xúc Cả Lúc Bão Giông (Tặng Kèm Bookmark)(Tái Bản),Richard Nicholls,4.43,3.21,3906,Others,497,5.0,336,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/31/36/bb/3287d77a87926609cab4b41077c033ba.jpg,0.28
67,27582931,How Money Works - Hiểu Hết Về Tiền,Dịch giả Bùi Thị Quỳnh Chi,12.66,7.59,8546,Bài học kinh doanh,1291,4.7,257,Unknown,https://salt.tikicdn.com/ts/product/d9/00/9e/9ba4a6dbd6700f9c6abd30f1a65b93c4.jpg,0.4
68,46240929,Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,4.18,2.3,25115,Others,4341,4.8,204,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/22/cb/a9/524a27dcd45e8a13ae6eecb3dfacba7c.jpg,0.45
69,205033951,Một chỗ trong đời,Annie Ernaux,2.91,2.18,240,Tác phẩm kinh điển,14,5.0,98,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/17/ae/b5/0331341f5afd84a1845acd591572d710.jpg,0.25
70,77105730,Tàn Ngày Để Lại (Bìa Cứng),Kazuo Ishiguro,7.13,4.28,2895,Tiểu Thuyết,583,4.8,286,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/bc/82/ac/a6bf1a9e771d2741fbe89de5c121bad6.jpg,0.4
71,52805060,Chúa Ruồi - Tiểu Thuyết (Nobel Văn Chương 1983)(Tái Bản 2020),William Golding,3.71,2.23,3918,Tác phẩm kinh điển,744,4.8,326,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/5f/97/52/a53eb98af3927cc5b5aeb08efa58d483.jpg,0.4
72,381234,Cuốn Sách Hoàn Hảo Về Ngôn Ngữ Cơ Thể - Body Language (Tái Bản),Allan & Barbara Pease,8.35,6.71,30490,Others,1076,4.7,456,Unknown,https://salt.tikicdn.com/ts/product/6f/e9/0c/3008cc78076b1ac7240c55bc014580d7.jpg,0.2
73,188695904,GIẬN (TBL22),Thích Nhất Hạnh,5.7,4.89,1802,Others,145,5.0,248,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/56/4a/55/ded53bb350d07e82bf01a2b819a0e100.jpg,0.14
75,573722,Thạch Sùng Trên Gác Mái,Trịnh Lịch Nhi,2.49,2.12,15,Truyện ngắn - Tản văn - Tạp Văn,3,5.0,98,Unknown,https://salt.tikicdn.com/media/catalog/product/t/h/thach-sung-con-tren-gac-mai-01.u53.d20170206.t174801.428508.jpg,0.15
76,145288026,Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,Tim Marshall,8.44,5.06,1745,Truyện ngắn - Tản văn - Tạp Văn,272,4.8,396,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/15/ce/8e/0d9f11fc37b0de189ba66f4f07359108.jpg,0.4
77,52329763,Kafka bên bờ biển (Tái Bản 2020),Haruki Murakami,6.67,4.0,4622,Tiểu Thuyết,986,4.8,530,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/63/99/70/ec162960adeabe3f2ce2f63fe4a2ebf7.jpeg,0.4
78,161008715,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),David R.Hawkins,7.55,5.29,2792,Kiến Thức Bách Khoa,281,5.0,398,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/37/54/79/b699efce8c0f4029f424019f561ef327.png,0.3
79,68585576,"Càng Kỷ Luật, Càng Tự Do",Ca Tây,4.6,3.12,17018,Others,3219,4.8,288,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/a3/57/75/7e17fd1bc79704272e6beba9968682c8.jpg,0.32
80,195801692,Chuyện Con Mèo Lập Kèo Cứu Sách,Natsukawa Sosuke,5.02,3.01,562,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,78,5.0,256,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/17/70/9a/5ad6bb124699c08b6ff8e2971f8b2493.jpg,0.4
81,157432544,Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Mai Lan Hương,9.28,6.41,5616,Sách Học Tiếng Anh,1014,5.0,560,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/e1/04/31/7763d9035552760f627c34acfec0e12f.jpg,0.31
82,174444163,"Dear, Darling",Hiên,3.71,2.58,4735,Truyện ngắn - Tản văn - Tạp Văn,724,4.8,200,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/03/03/07/3fbe7cc39c9fe08b308274a03099c1c1.jpg,0.31
83,120509490,Thương Nhớ Mười Hai (Việt Nam Danh Tác) (Tái Bản),Vũ Bằng,4.18,2.51,1119,Truyện ngắn - Tản văn - Tạp Văn,174,5.0,344,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/92/f3/e0/83cda0f7600bd6e6644747c27ce6131d.jpg,0.4
84,11122712,Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,William J. O’Neil,29.54,29.54,14656,"Sách tài chính, tiền tệ",2320,4.8,1044,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/16/02/ff/d8180a497eaf45bce49868b1af7be333.jpg,0.0
85,35355716,Gỗ Thần,Lưu Khánh Bang,3.33,2.83,4,Truyện trinh thám,3,5.0,164,Unknown,https://salt.tikicdn.com/ts/product/e7/61/3a/985d5ad2db9a3966a9013420954703d0.jpg,0.15
86,120219394,Tôi Nói Gì Khi Nói Về Chạy Bộ,Haruki Murakami,3.21,2.49,89,Truyện ngắn - Tản văn - Tạp Văn,15,5.0,235,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/38/ca/e6/d2ef5065043a253429e6587f7b1bea57.jpg,0.22
87,107802183,Sức Mạnh Tiềm Thức (Tái Bản),Joseph Murphyc,5.4,3.56,5034,Others,711,5.0,336,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/45/26/55/58d50e8dcd42e6ee0296008d823bd9b7.jpg,0.34
88,7718737,Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),Rolf Dobelli,4.98,2.99,9719,Others,888,4.8,422,Unknown,https://salt.tikicdn.com/ts/product/ef/a6/94/70074b99dabd536696638bbf513401d4.jpg,0.4
89,147999778,Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng),Chung Ju Yung,11.31,7.12,6051,Bài học kinh doanh,490,5.0,512,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/media/catalog/producttmp/b8/10/fd/0cef918a7aedb9ede38d46aeadc4bf2d.jpg,0.37
90,527316,Mát Mát Lạnh Lạnh,Ngọc Bảo An,2.32,1.84,278,Truyện ngắn - Tản văn - Tạp Văn,13,4.7,126,Unknown,https://salt.tikicdn.com/media/catalog/product/m/a/mat mat lanh lanh.u547.d20160719.t104506.jpg,0.21
91,641906,Bí Mật Của Naoko,Higashino Keigo,4.56,2.73,12680,Tiểu Thuyết,1293,4.7,468,Unknown,https://salt.tikicdn.com/media/catalog/product/u/n/unnamed--1-.u3059.d20170515.t104135.72047.jpg,0.4
92,153045603,Người Giỏi Không Phải Là Người Làm Tất Cả (Tái Bản),Donna M. Genett,2.45,1.61,1278,Sách kỹ năng làm việc,88,5.0,116,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/89/93/21/e82aabcdb76f43e2b80e00c6ac2e5717.jpg,0.34
93,204806201,Chiến Tranh Tiền Tệ - Tập 5,Song Hong Bing,8.23,5.78,182,"Sách quản trị, lãnh đạo",15,5.0,456,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/27/fb/94/9c38c917a164600a498184d3d73c47f5.jpg,0.3
94,203957925,Monster #8 - Tập 6,Naoya Matsumoto,2.45,2.08,1438,Others,132,5.0,188,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/78/98/79/dbe0ea056cb4595fd6c56e1f3defa593.jpg,0.15
95,1934493,Thiên Môn Chi Thánh,Phương Bạch Vũ,4.22,3.16,497,Tiểu Thuyết,31,4.5,340,Unknown,https://salt.tikicdn.com/ts/product/5f/1b/40/567ded87612632ad92087ed52f42d587.jpg,0.25
96,174842858,Sức Mạnh Của Ngôn Từ (Tái Bản 2022),Don Gabor,4.56,3.0,837,Sách nghệ thuật sống đẹp,72,5.0,312,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/f0/db/1c/98d137d24edbf7b6d5fedd365a4f4aa9.jpg,0.34
97,207475540,Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],Kaito,1.9,1.9,143,Others,15,4.7,244,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/c5/0d/50/5dec744aead450eb1f72c2f2a7944eb0.jpg,0.0
98,3071853,Homo Deus: Lược Sử Tương Lai,Yuval Noah Harari,7.97,4.78,19927,Lịch Sử Thế Giới,1486,4.6,512,Unknown,https://salt.tikicdn.com/ts/product/f6/c4/c1/37cc7da534a3a25e39e4b5e32bf5f6ba.jpg,0.4
99,27971953,Lược Sử Tôn Giáo,Richard Holloway,5.44,3.27,4438,Others,579,4.7,308,Unknown,https://salt.tikicdn.com/ts/product/5c/69/27/5a19171b7de6d9b6b2c4ecbf9c005f19.jpg,0.4
101,8886001,Giết Con Chim Nhại (Tái Bản),Harper Lee,5.06,3.04,12199,Truyện dài,1379,4.8,456,Unknown,https://salt.tikicdn.com/ts/product/f9/43/fe/c0f35edda6a18c65d638e731063b0cc1.jpg,0.4
102,50414368,Án Mạng Mười Một Chữ,Higashino Keigo,4.64,2.78,7392,Truyện trinh thám,1232,4.8,260,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/32/2e/b7/fcd82c276d5e2a662ccadc1fb7e26cb4.jpg,0.4
103,50072452,Lâu Đài Bay Của Pháp Sư Howl (Tái Bản 2020),Diana Wynne Jones,4.47,2.68,5292,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,1283,4.8,400,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/19/57/d2/f8e8ac1e83c74d24ef57d5e1a8194be7.jpg,0.4
104,184419723,Sapiens Lược Sử Loài Người (Tái Bản 2022),Yuval Noah Harari,12.62,8.06,674,Lịch Sử Thế Giới,72,5.0,600,Nhà Xuất Bản Tri Thức,https://salt.tikicdn.com/ts/product/54/44/ec/20755ddad37cc1e7477f9a98aed12c77.jpg,0.36
